label_7network,VIS_Ex1,VIS_Ex3,VIS_Ex4,VIS_Ex5,VIS_Ex6,VIS_Ex8,VIS_In1,VIS_In2,VIS_In3,VIS_In4,VIS_PVALB,VIS_SST,VIS_End,VIS_Per,VIS_Ast,VIS_Oli,VIS_OPC,VIS_Mic
7Networks_LH_SomMot_13,0.1011760512573384,0.2384350900936222,0.2531711809065627,0.0759088747665253,0.0809801800554122,0.034727647415679,0.0060957198156331,0.0109475633318799,0.0172413380857562,0.007730445545107,0.0944865337714338,0.0245209931067958,0.0157145447600279,0.0132791439176994,0.0523832799438805,0.2263488095644389,0.0137788653275611,0.0333001795893894
7Networks_LH_SomMot_14,0.0,0.2855157814715193,0.0873869531059016,0.0,0.0543978279377964,0.0712058365800899,0.0,0.0599126813268759,0.0994753557472783,0.0870348947718834,0.0394505166602236,0.0,0.1374726320998112,0.0548843719633563,0.1431754049202956,0.0771618810666691,0.0,0.0078302046685908
7Networks_LH_SomMot_15,0.017647924057025,1.5050378535547628,0.9349757245503664,1.305309512095952,0.0030861637910182,0.0226214477749692,0.0,0.181796184827482,0.0182235426327316,0.0316392626396674,0.1929200337098577,0.0881630297014655,0.0449814901244427,0.0450515212448955,0.0067404039904924,0.302377555921055,0.0,0.0138565016635128
7Networks_LH_SomMot_16,0.2428889275978293,0.3780939532951836,0.0,0.247290771525173,0.4827107384578896,0.0469424982997181,0.0,0.0534674163849427,0.1644301310326101,0.0115556836235003,0.062815894474826,0.007108279560828,0.0149592807612287,0.0702483602663564,0.003230038124485,0.0163626882584548,0.0051041778947466,0.0116431037838967
7Networks_LH_SomMot_17,0.0737012069896889,0.29625950324055705,0.2455659797080854,0.09696442222173145,0.03586189304156537,0.02561627841256994,0.01441841040427283,0.0430694944191255,0.04136611391030395,0.02834725289897638,0.09185780262684173,0.018979389250622775,0.04844142172088522,0.023189410201117734,0.06500071494245327,0.25500567246885425,0.015542033882536548,0.02401739045620421
7Networks_LH_SomMot_18,0.0371110354108611,0.191015671583315,0.0,0.1689170970449831,0.1208039390682179,0.0552389111314809,0.0301732012779009,0.0205779829028819,0.0543612862908688,0.0490819224288933,0.0531537855238789,0.0066095970433935,0.0607602938248951,0.0219261332296055,0.0959085824677806,0.2997499704468403,0.0013328600303246,0.0006394714051197067
7Networks_LH_SomMot_19,0.0,0.1163593274525825,0.111204189098767,0.0,0.2623074670233415,0.0,0.0,0.0595604870351468,0.1843149663959,0.1127830781146772,0.0,0.0170749522961298,0.0671191804843314,0.0210833332648999,0.1422900005808933,0.2994332581773284,0.0202683845492182,0.0459888103516967
7Networks_LH_SomMot_20,0.0,0.4116399348442797,0.4211288176122078,0.0281229350512693,0.008128190453926,0.0300948493213906,0.0076233952142473,0.0448847721268041,0.0,0.0201425152198721,0.1546848258357104,0.0028297419463403,0.0050211753833931,0.0034682179963632,0.0044754262519202,0.0718331165729007,0.0072742902864794,0.0295361522798627
7Networks_LH_SomMot_21,0.1188659241287306,0.4199389651011907,0.2598396380912875,0.0240620907546326,0.0113690752844476,0.0088020456031714,0.0016579309811427,0.0276077884607303,0.0086354072626772,0.0283593380395567,0.1315490193578244,0.008502154289117,0.0023556994966719,0.0012332567054991,0.044359908366803,0.1165401371893692,0.002660096873873,0.0149539218888222
7Networks_LH_SomMot_22,0.0,0.5163882770359501,0.1224893330629425,0.003240718693049,0.0048732720189039,0.0243884536210395,0.0146561703598108,0.011707680093758,0.0141184600010354,0.0299197809707301,0.1405337519081666,0.0083997706910977,0.0540328661476269,0.0138517646896706,0.0574725862760878,0.2798002444568671,0.0024703757522469,0.0039099714524398
