label_7network,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl
7Networks_RH_Cont_PFCmp_1,0.0216491311679742,0.0263481314777949,0.1543896476395471,0.029758619021604,0.0205278406665404,0.1147418302283758,0.011163120904185,0.0564384732561679,0.0678629335678378,0.1494486920810658,0.0,0.0043127668354513,0.0134723725904795,0.0529590645586482,0.0378182952921966,0.0076593135812103,0.0156982172011087,0.0,0.0829442564518363,0.044409213078288,0.0640765399245413,0.0,0.0102302569262282,0.0140912835489179
7Networks_RH_Cont_PFCmp_2,0.0418334823333468,0.0,0.0491420770968689,0.0053483203051745,0.0395411571726646,0.0964058000794653,0.011442410855274,0.0941864167883614,0.0271738593126545,0.0322023206151179,0.0026278214164194,0.0056977960387846,0.0268257600290077,0.0304106917640535,0.0390137453547702,0.0288680319211616,0.0517975776615291,0.1368783008823436,0.002826141238144,0.164748204663657,0.0,0.060251398761427,0.0414619652140353,0.0113167204957379
7Networks_RH_Default_Par_1,0.028113503825352982,0.022135557892831226,0.04001289697561429,0.01747039528467423,0.016171652007336657,0.07855873196256433,0.040013126900016883,0.030945159292520227,0.027388134824036344,0.03647975322477833,0.006538622326455152,0.008280615052989384,0.014692783312333497,0.011573240027423182,0.04221922667130609,0.15717105287814656,0.014702360150103152,0.12199389000632672,0.1019562310309785,0.11154866352240012,0.02558144720707788,0.0277337697893321,0.013890450197517194,0.004828735637883896
7Networks_RH_Default_Par_2,0.029268780337825605,0.023150947701708294,0.07526305056403626,0.025662298265215946,0.018033444016027973,0.028445497805704593,0.04203246896833916,0.013765788198097512,0.037442585780866636,0.04131725901084783,0.005970405247407433,0.008064834144967375,0.01710071359708994,0.01413690475815486,0.05309555901926955,0.19015346384109305,0.008819840297372938,0.09999859274911418,0.03931412422236374,0.12817498373165936,0.019137326255578346,0.04664602768241291,0.032450666036166184,0.002554437768679311
7Networks_RH_Default_Par_3,0.023263203143419717,0.02507607067919416,0.059430605237507414,0.024045446366106928,0.019637651412221627,0.045563536512818754,0.05408239728945317,0.01049388989004416,0.04878489125149679,0.030831987284070626,0.006396649304210911,0.005710287795828397,0.01973340176590366,0.014217151503616085,0.05241258022690736,0.16122050155038056,0.0158469083594418,0.03788483702640534,0.07884030473080263,0.1777450514868752,0.01756098615183306,0.035643793537376234,0.029845695702681592,0.005732171791402816
7Networks_RH_Default_Par_4,0.0,0.0165186698116746,0.0425305178494833,0.0249715227286692,0.0161201884670646,0.0530900553716674,0.0735854108813901,0.0,0.0273876854536574,0.0792772651505815,0.0092854545413308,0.0116267175931309,0.0119534153002787,0.0074098671233479,0.0011036143431426,0.1094913892251832,0.0069635744227115,0.0850149196360053,0.1541714408659679,0.2060369218695116,0.0074792718909707,0.0005333262352587199,0.0481356999284779,0.007313071310493
7Networks_RH_Default_Par_5,0.03340333655377217,0.017229499661053017,0.056102898893819135,0.022821591515534007,0.0201286088964909,0.04942165335150307,0.05057619174940062,0.012786007849385519,0.04174630768279809,0.025302188284287794,0.00605322145818287,0.009162372270445278,0.015727194633762605,0.008643985545277913,0.03184731547333725,0.19269803502946997,0.008400599186143484,0.09041817408286763,0.04583102463522132,0.1668386458364371,0.011944077583014821,0.05076982960604371,0.028906807777536618,0.0032404324442140775
7Networks_RH_Default_Temp_1,0.0,0.057093727483872,0.1151015383834733,0.0283492240041184,0.0009581136414873376,0.0021224153949463,0.0344906215065537,0.0133253027180322,0.0872822721328523,0.0734421516447301,0.0,0.0054329192411059,0.0227365583343365,0.0377885942316638,0.000185905324255485,0.096249822840331,0.0192566772285061,0.0,0.0630728117961837,0.1369406082771559,0.1297649505743396,0.0,0.0679506084333037,0.0084551768087519
7Networks_RH_Default_Temp_2,0.0051172400270019,0.0367793956830967,0.0677983166520494,0.0858346417944284,0.034340021124598,0.0022058348425705,0.0408350940389369,0.0171483199878417,0.0341737304688827,0.0618909096094622,0.0091908595781971,0.0031977777756923,0.0163414013222842,0.0378816168416283,0.0341973555475201,0.1485429724268836,0.0296123968123412,0.0068525056917094,0.141953270592407,0.1143103379660466,0.0270459632368641,0.0046437499680716,0.0373245367078926,0.0027817513035923
7Networks_RH_Default_Temp_3,0.0,0.1218506049413647,0.0,0.0,0.0100967344175242,0.0076387229102514,0.0,0.0339622206754768,0.1163041765109744,0.0,0.0,0.0,0.0214637362344602,0.0121146514427237,0.0,0.0,0.0285466076551278,0.0,0.1731427326615893,0.143783091959273,0.2428559609569496,0.0,0.063239403167827,0.0250013564664573
